"
",Date,"
",Price,"
",Open,"
",High,"
",Low,"
",Vol., ,Change %,"
"
"
","May 04, 2021","
","53,264.0","
","57,147.0","
","57,147.0","
","53,264.0","
",10.03K, ,-6.79%,"
"
"
","May 03, 2021","
","57,147.0","
","56,605.0","
","58,686.0","
","56,605.0","
",7.63K, ,0.96%,"
"
"
","May 02, 2021","
","56,605.0","
","57,774.0","
","57,774.0","
","56,385.0","
",4.20K, ,-2.02%,"
"
"
","May 01, 2021","
","57,774.0","
","57,634.7","
","58,265.0","
","57,259.0","
",4.32K, ,0.24%,"
"
"
","Apr 30, 2021","
","57,637.0","
","53,566.0","
","57,637.0","
","53,339.0","
",7.86K, ,7.60%,"
"
"
","Apr 29, 2021","
","53,566.0","
","54,860.0","
","54,860.0","
","52,631.0","
",7.08K, ,-2.36%,"
"
"
","Apr 28, 2021","
","54,860.0","
","55,044.0","
","55,575.0","
","54,090.0","
",5.76K, ,-0.33%,"
"
"
","Apr 27, 2021","
","55,044.0","
","54,103.0","
","55,215.0","
","53,660.0","
",7.24K, ,1.74%,"
"
"
","Apr 26, 2021","
","54,103.0","
","49,129.0","
","54,214.0","
","49,129.0","
",11.01K, ,10.15%,"
"
"
","Apr 25, 2021","
","49,116.3","
","50,167.0","
","50,539.0","
","48,409.8","
",9.60K, ,-2.09%,"
"
"
","Apr 24, 2021","
","50,167.0","
","51,139.0","
","51,139.0","
","49,572.0","
",5.98K, ,-1.90%,"
"
"
","Apr 23, 2021","
","51,139.0","
","51,781.3","
","51,781.3","
","48,719.6","
",17.25K, ,-1.24%,"
"
"
","Apr 22, 2021","
","51,781.3","
","53,822.0","
","55,067.0","
","51,781.3","
",12.69K, ,-3.79%,"
"
"
","Apr 21, 2021","
","53,822.0","
","56,476.0","
","56,476.0","
","53,822.0","
",7.10K, ,-4.70%,"
"
"
","Apr 20, 2021","
","56,476.0","
","55,639.0","
","56,950.0","
","54,398.0","
",8.39K, ,1.50%,"
"
"
","Apr 19, 2021","
","55,639.0","
","56,173.0","
","57,359.0","
","54,912.8","
",8.57K, ,-0.93%,"
"
"
","Apr 18, 2021","
","56,163.0","
","59,970.0","
","60,223.0","
","54,416.8","
",26.33K, ,-6.35%,"
"
"
","Apr 17, 2021","
","59,970.0","
","61,325.0","
","62,367.7","
","59,970.0","
",7.02K, ,-2.21%,"
"
"
","Apr 16, 2021","
","61,325.0","
","63,196.0","
","63,453.0","
","60,286.0","
",11.54K, ,-2.96%,"
"
"
","Apr 15, 2021","
","63,196.0","
","62,907.0","
","63,475.0","
","62,348.0","
",6.61K, ,0.40%,"
"
"
","Apr 14, 2021","
","62,942.7","
","63,518.0","
","64,374.0","
","62,065.0","
",10.93K, ,-0.91%,"
"
"
","Apr 13, 2021","
","63,518.0","
","59,900.0","
","63,518.0","
","59,900.0","
",11.26K, ,6.04%,"
"
"
","Apr 12, 2021","
","59,900.0","
","60,034.8","
","60,701.0","
","59,747.0","
",5.50K, ,-0.22%,"
"
"
","Apr 11, 2021","
","60,034.8","
","59,823.8","
","60,486.0","
","59,411.0","
",4.65K, ,0.35%,"
"
"
","Apr 10, 2021","
","59,823.8","
","58,114.0","
","60,984.0","
","58,114.0","
",9.79K, ,2.94%,"
"
"
","Apr 09, 2021","
","58,114.0","
","58,110.0","
","58,683.0","
","57,849.0","
",3.75K, ,0.01%,"
"
"
","Apr 08, 2021","
","58,110.0","
","55,960.0","
","58,110.0","
","55,960.0","
",4.48K, ,3.84%,"
"
"
","Apr 07, 2021","
","55,960.0","
","57,991.0","
","58,490.0","
","55,960.0","
",8.85K, ,-3.50%,"
"
"
","Apr 06, 2021","
","57,991.0","
","59,145.0","
","59,200.0","
","57,603.0","
",5.62K, ,-1.95%,"
"
"
","Apr 05, 2021","
","59,145.0","
","58,240.0","
","59,145.0","
","57,034.0","
",5.59K, ,1.55%,"
"
"
","Apr 04, 2021","
","58,240.0","
","57,023.0","
","58,240.0","
","57,023.0","
",4.97K, ,2.13%,"
"
"
","Apr 03, 2021","
","57,023.0","
","58,959.0","
","59,499.0","
","57,023.0","
",6.63K, ,-3.28%,"
"
"
","Apr 02, 2021","
","58,959.0","
","58,727.4","
","59,834.0","
","58,727.4","
",6.15K, ,0.39%,"
"
"
","Apr 01, 2021","
","58,727.4","
","58,796.0","
","59,172.9","
","58,498.0","
",4.35K, ,-0.12%,"
"
"
","Mar 31, 2021","
","58,796.0","
","58,841.0","
","59,453.0","
","57,698.0","
",8.12K, ,-0.08%,"
"
"
","Mar 30, 2021","
","58,841.0","
","57,672.3","
","59,349.0","
","57,278.0","
",7.87K, ,2.03%,"
"
"
","Mar 29, 2021","
","57,672.3","
","55,773.0","
","58,162.0","
","54,984.0","
",10.12K, ,3.41%,"
"
"
","Mar 28, 2021","
","55,773.0","
","55,886.0","
","56,326.0","
","55,089.0","
",4.21K, ,-0.20%,"
"
"
","Mar 27, 2021","
","55,886.0","
","54,992.9","
","56,249.0","
","54,373.0","
",5.18K, ,1.62%,"
"
"
","Mar 26, 2021","
","54,992.9","
","51,363.0","
","54,992.9","
","51,363.0","
",7.71K, ,7.07%,"
"
"
","Mar 25, 2021","
","51,363.0","
","52,347.2","
","52,926.0","
","50,874.0","
",11.59K, ,-1.88%,"
"
"
","Mar 24, 2021","
","52,347.2","
","54,331.0","
","56,919.0","
","52,347.2","
",14.08K, ,-3.65%,"
"
"
","Mar 23, 2021","
","54,331.0","
","54,074.0","
","55,646.9","
","53,541.2","
",6.57K, ,0.48%,"
"
"
","Mar 22, 2021","
","54,074.0","
","57,368.0","
","58,036.0","
","54,074.0","
",8.72K, ,-5.74%,"
"
"
","Mar 21, 2021","
","57,368.0","
","58,087.0","
","58,499.5","
","56,200.0","
",8.29K, ,-1.24%,"
"
"
","Mar 20, 2021","
","58,087.0","
","58,074.0","
","59,421.0","
","58,074.0","
",6.78K, ,0.02%,"
"
"
","Mar 19, 2021","
","58,074.0","
","57,640.0","
","58,961.0","
","57,030.0","
",6.48K, ,0.75%,"
"
"
","Mar 18, 2021","
","57,640.0","
","58,870.0","
","59,799.0","
","57,580.0","
",7.24K, ,-2.09%,"
"
"
","Mar 17, 2021","
","58,870.0","
","56,924.0","
","58,870.0","
","54,576.0","
",11.27K, ,3.42%,"
"
"
","Mar 16, 2021","
","56,924.0","
","55,644.0","
","56,924.0","
","54,049.0","
",10.49K, ,2.30%,"
"
"
","Mar 15, 2021","
","55,644.0","
","59,005.0","
","60,141.1","
","55,644.0","
",14.78K, ,-5.70%,"
"
"
","Mar 14, 2021","
","59,005.0","
","61,207.0","
","61,468.0","
","59,005.0","
",6.64K, ,-3.60%,"
"
"
","Mar 13, 2021","
","61,207.0","
","57,315.0","
","61,207.0","
","56,488.0","
",13.70K, ,6.79%,"
"
"
","Mar 12, 2021","
","57,315.0","
","57,869.0","
","57,869.0","
","55,946.0","
",9.56K, ,-0.96%,"
"
"
","Mar 11, 2021","
","57,869.0","
","55,939.0","
","57,921.0","
","54,834.0","
",8.66K, ,3.42%,"
"
"
","Mar 10, 2021","
","55,955.2","
","54,950.0","
","57,033.0","
","53,698.7","
",10.68K, ,1.83%,"
"
"
","Mar 09, 2021","
","54,949.4","
","52,395.0","
","54,949.4","
","52,395.0","
",8.20K, ,4.88%,"
"
"
","Mar 08, 2021","
","52,395.0","
","51,031.2","
","52,395.0","
","49,821.0","
",6.15K, ,2.67%,"
"
"
","Mar 07, 2021","
","51,031.2","
","48,895.0","
","51,031.2","
","48,895.0","
",5.37K, ,4.37%,"
"
"
","Mar 06, 2021","
","48,895.0","
","48,811.0","
","49,043.1","
","47,515.4","
",4.21K, ,0.17%,"
"
"
","Mar 05, 2021","
","48,811.0","
","48,368.0","
","49,277.0","
","46,662.0","
",9.42K, ,0.92%,"
"
"
","Mar 04, 2021","
","48,368.0","
","50,425.0","
","51,556.0","
","48,059.0","
",9.56K, ,-4.08%,"
"
"
","Mar 03, 2021","
","50,425.0","
","48,526.0","
","52,018.0","
","48,526.0","
",8.60K, ,3.91%,"
"
"
","Mar 02, 2021","
","48,526.0","
","49,572.0","
","49,572.0","
","47,453.6","
",8.37K, ,-2.11%,"
"
"
","Mar 01, 2021","
","49,572.0","
","45,300.0","
","49,572.0","
","45,300.0","
",9.42K, ,9.43%,"
"
"
","Feb 28, 2021","
","45,300.0","
","46,217.0","
","46,360.5","
","43,380.0","
",13.54K, ,-1.98%,"
"
"
","Feb 27, 2021","
","46,217.0","
","46,319.0","
","47,766.9","
","46,217.0","
",7.60K, ,-0.22%,"
"
"
","Feb 26, 2021","
","46,319.0","
","47,144.0","
","48,250.0","
","45,320.0","
",22.33K, ,-1.75%,"
"
"
","Feb 25, 2021","
","47,144.0","
","49,715.0","
","51,511.0","
","47,144.0","
",9.55K, ,-5.17%,"
"
"
","Feb 24, 2021","
","49,715.0","
","48,888.0","
","51,043.0","
","47,179.0","
",12.00K, ,1.69%,"
"
"
","Feb 23, 2021","
","48,888.0","
","54,078.0","
","54,078.0","
","45,343.5","
",32.59K, ,-9.60%,"
"
"
","Feb 22, 2021","
","54,078.0","
","57,376.0","
","57,376.0","
","48,383.0","
",27.31K, ,-5.75%,"
"
"
","Feb 21, 2021","
","57,376.0","
","55,838.0","
","58,238.0","
","55,639.0","
",6.69K, ,2.75%,"
"
"
","Feb 20, 2021","
","55,838.0","
","55,847.0","
","57,352.0","
","55,182.0","
",11.63K, ,-0.02%,"
"
"
","Feb 19, 2021","
","55,847.0","
","51,566.0","
","56,093.0","
","51,079.0","
",11.80K, ,8.30%,"
"
"
","Feb 18, 2021","
","51,566.0","
","52,060.0","
","52,433.0","
","51,356.9","
",5.87K, ,-0.95%,"
"
"
","Feb 17, 2021","
","52,060.0","
","49,225.0","
","52,284.0","
","49,225.0","
",9.21K, ,5.76%,"
"
"
","Feb 16, 2021","
","49,225.0","
","47,941.0","
","49,533.5","
","47,643.0","
",13.04K, ,2.68%,"
"
"
","Feb 15, 2021","
","47,941.0","
","48,587.0","
","48,694.0","
","46,563.0","
",9.88K, ,-1.33%,"
"
"
","Feb 14, 2021","
","48,587.0","
","47,177.0","
","49,279.0","
","47,177.0","
",7.34K, ,2.99%,"
"
"
","Feb 13, 2021","
","47,177.0","
","47,389.0","
","47,939.0","
","46,582.0","
",5.23K, ,-0.45%,"
"
"
","Feb 12, 2021","
","47,389.0","
","47,966.0","
","48,540.0","
","47,072.0","
",10.79K, ,-1.20%,"
"
"
","Feb 11, 2021","
","47,966.0","
","44,835.0","
","47,981.0","
","44,444.0","
",10.30K, ,6.98%,"
"
"
","Feb 10, 2021","
","44,835.0","
","46,486.0","
","47,056.0","
","44,541.0","
",10.02K, ,-3.55%,"
"
"
","Feb 09, 2021","
","46,486.0","
","46,440.0","
","48,004.0","
","45,882.0","
",15.90K, ,0.10%,"
"
"
","Feb 08, 2021","
","46,440.0","
","38,841.0","
","46,440.0","
","38,250.0","
",24.79K, ,19.56%,"
"
"
","Feb 07, 2021","
","38,841.0","
","39,257.0","
","39,561.0","
","38,061.0","
",7.63K, ,-1.06%,"
"
"
","Feb 06, 2021","
","39,257.0","
","38,260.0","
","40,780.0","
","38,260.0","
",10.18K, ,2.61%,"
"
