"
",Date,"
",Price,"
",Open,"
",High,"
",Low,"
",Vol., ,Change %,"
"
"
","May 11, 2021","
",759.75,"
",742.75,"
",765.00,"
",742.75,"
",0.06K, ,2.32%,"
"
"
","May 10, 2021","
",742.50,"
",768.50,"
",769.00,"
",746.00,"
",0.23K, ,-4.01%,"
"
"
","May 07, 2021","
",773.50,"
",771.00,"
",771.00,"
",760.50,"
",0.03K, ,1.21%,"
"
"
","May 06, 2021","
",764.25,"
",761.00,"
",763.50,"
",745.00,"
",0.02K, ,1.12%,"
"
"
","May 05, 2021","
",755.75,"
",737.75,"
",754.50,"
",737.50,"
",0.50K, ,2.54%,"
"
"
","May 04, 2021","
",737.00,"
",731.25,"
",737.50,"
",730.00,"
",0.30K, ,1.59%,"
"
"
","May 03, 2021","
",725.50,"
",753.25,"
",753.25,"
",726.75,"
",0.41K, ,-2.29%,"
"
"
","Apr 30, 2021","
",742.50,"
",741.00,"
",745.50,"
",728.50,"
",0.41K, ,0.68%,"
"
"
","Apr 29, 2021","
",737.50,"
",722.25,"
",738.75,"
",712.75,"
",9.42K, ,1.69%,"
"
"
","Apr 28, 2021","
",725.25,"
",734.25,"
",743.75,"
",713.50,"
",12.76K, ,-1.16%,"
"
"
","Apr 27, 2021","
",733.75,"
",737.00,"
",773.00,"
",726.75,"
",16.10K, ,-0.78%,"
"
"
","Apr 26, 2021","
",739.50,"
",712.75,"
",745.25,"
",712.75,"
",34.38K, ,4.12%,"
"
"
","Apr 23, 2021","
",710.25,"
",709.75,"
",714.75,"
",701.00,"
",29.09K, ,0.00%,"
"
"
","Apr 22, 2021","
",710.25,"
",673.75,"
",713.25,"
",672.00,"
",45.27K, ,5.50%,"
"
"
","Apr 21, 2021","
",673.25,"
",662.75,"
",678.75,"
",658.75,"
",30.05K, ,2.05%,"
"
"
","Apr 20, 2021","
",659.75,"
",651.50,"
",679.00,"
",650.25,"
",43.16K, ,1.15%,"
"
"
","Apr 19, 2021","
",652.25,"
",653.00,"
",660.75,"
",651.00,"
",28.59K, ,-0.04%,"
"
"
","Apr 16, 2021","
",652.50,"
",652.50,"
",659.75,"
",648.25,"
",36.53K, ,-0.19%,"
"
"
","Apr 15, 2021","
",653.75,"
",647.25,"
",657.75,"
",639.00,"
",61.43K, ,0.89%,"
"
"
","Apr 14, 2021","
",648.00,"
",630.75,"
",655.75,"
",630.75,"
",117.77K, ,2.90%,"
"
"
","Apr 13, 2021","
",629.75,"
",630.25,"
",637.25,"
",628.25,"
",78.36K, ,0.28%,"
"
"
","Apr 12, 2021","
",628.00,"
",638.00,"
",639.00,"
",623.00,"
",101.81K, ,-1.68%,"
"
"
","Apr 09, 2021","
",638.75,"
",628.75,"
",646.50,"
",627.25,"
",113.07K, ,1.59%,"
"
"
","Apr 08, 2021","
",628.75,"
",618.00,"
",631.50,"
",616.00,"
",87.00K, ,2.03%,"
"
"
","Apr 07, 2021","
",616.25,"
",615.00,"
",619.75,"
",609.75,"
",73.52K, ,0.12%,"
"
